tconst,num_seasons,num_episodes,long
tt0056768,2,59,0
tt0056772,2,15,0
tt0056774,2,60,0
tt0056775,3,107,0
tt0056777,2,49,0
tt0056778,3,105,0
tt0056787,2,26,0
tt0056790,2,12,0
tt0057729,2,64,0
tt0057746,2,13,0
tt0057748,3,88,0
tt0057750,3,104,0
tt0057751,3,99,0
tt0057757,2,26,0
tt0057763,2,3,0
tt0057765,4,105,0
tt0057773,2,72,0
tt0057784,2,36,0
tt0057789,2,27,0
tt0057790,2,32,0
tt0057793,3,78,0
tt0057798,4,110,0
tt0058789,2,26,0
tt0058790,3,39,0
tt0058791,4,112,0
tt0058792,2,48,0
tt0058795,2,176,0
tt0058800,2,65,0
tt0058807,2,52,0
tt0058810,4,705,0
tt0058816,3,82,0
tt0058819,2,56,0
tt0058821,3,20,0
tt0058824,3,84,0
tt0058836,4,49,0
tt0058840,2,58,0
tt0058841,3,32,0
tt0058843,2,26,0
tt0058844,3,85,0
tt0058846,3,49,0
tt0058847,2,27,0
tt0058855,4,104,0
tt0058856,3,20,0
tt0059963,2,29,0
tt0059968,3,120,0
tt0059977,4,89,0
tt0059983,3,73,0
tt0059985,2,28,0
tt0059987,4,26,0
tt0059995,4,1911,0
tt0059996,2,48,0
tt0060002,2,26,0
tt0060004,2,31,0
tt0060010,2,59,0
tt0060012,3,34,0
tt0060015,2,37,0
tt0060018,2,58,0
tt0060025,3,208,0
tt0060028,3,80,0
tt0060033,2,60,0
tt0060037,3,124,0
tt0060040,2,9,0
tt0061230,3,39,0
tt0061233,2,13,0
tt0061234,2,26,0
tt0061236,3,24,0
tt0061238,4,43,0
tt0061247,2,29,0
tt0061248,4,98,0
tt0061252,3,82,0
tt0061255,2,56,0
tt0061259,2,50,0
tt0061260,4,37,0
tt0061262,2,47,0
tt0061263,4,97,0
tt0061265,2,43,0
tt0061267,2,52,0
tt0061268,4,682,0
tt0061269,2,43,0
tt0061271,2,50,0
tt0061279,3,19,0
tt0061280,2,56,0
tt0061282,2,49,0
tt0061283,4,37,0
tt0061291,2,15,0
tt0061296,3,73,0
tt0061301,3,52,0
tt0061309,2,13,0
tt0062543,2,38,0
tt0062549,2,13,0
tt0062550,3,7,0
tt0062553,3,28,0
tt0062561,2,39,0
tt0062564,2,38,0
tt0062565,2,50,0
tt0062566,2,48,0
tt0062567,2,42,0
tt0062569,2,52,0
tt0062572,3,66,0
tt0062575,3,86,0
tt0062577,2,51,0
tt0062578,2,51,0
tt0062587,3,78,0
tt0062591,3,76,0
tt0062594,3,19,0
tt0062602,2,18,0
tt0063865,2,12,0
tt0063866,2,50,0
tt0063868,2,54,0
tt0063871,2,52,0
tt0063873,3,27,0
tt0063874,4,45,0
tt0063877,2,41,0
tt0063881,2,26,0
tt0063887,3,73,0
tt0063890,4,775,0
tt0063893,2,28,0
tt0063895,2,26,0
tt0063901,3,20,0
tt0063902,4,91,0
tt0063905,2,39,0
tt0063909,2,13,0
tt0063915,2,20,0
tt0063919,2,58,0
tt0063929,4,45,0
tt0063937,2,13,0
tt0063938,4,52,0
tt0063939,2,32,0
tt0063940,2,50,0
tt0063941,4,55,0
tt0063950,3,41,0
tt0063953,4,53,0
tt0063957,3,57,0
tt0063958,2,48,0
tt0063961,2,13,0
tt0064919,3,39,0
tt0065269,3,46,0
tt0065271,2,12,0
tt0065273,2,23,0
tt0065274,2,48,0
tt0065279,2,26,0
tt0065282,2,26,0
tt0065288,4,955,0
tt0065290,3,38,0
tt0065291,2,18,0
tt0065294,4,95,0
tt0065295,4,27,0
tt0065298,2,22,0
tt0065300,2,19,0
tt0065304,2,12,0
tt0065308,4,116,0
tt0065310,2,13,0
tt0065313,2,14,0
tt0065320,2,13,0
tt0065326,3,54,0
tt0065327,3,52,0
tt0065330,2,12,0
tt0065333,4,96,0
tt0065336,3,18,0
tt0065349,2,24,0
tt0066624,2,13,0
tt0066625,3,50,0
tt0066628,4,26,0
tt0066646,2,3,0
tt0066649,4,97,0
tt0066655,2,3,0
tt0066662,2,46,0
tt0066671,2,23,0
tt0066677,2,13,0
tt0066680,2,13,0
tt0066682,2,15,0
tt0066689,3,72,0
tt0066692,2,14,0
tt0066696,3,70,0
tt0066699,2,20,0
tt0066707,2,61,0
tt0066716,2,39,0
tt0066717,4,67,0
tt0068030,2,52,0
tt0068032,4,26,0
tt0068041,2,24,0
tt0068043,2,16,0
tt0068044,2,17,0
tt0068050,2,13,0
tt0068051,2,22,0
tt0068052,2,47,0
tt0068059,2,28,0
tt0068061,2,16,0
tt0068065,2,43,0
tt0068071,3,53,0
tt0068077,2,10,0
tt0068090,3,39,0
tt0068093,3,63,0
tt0068112,2,24,0
tt0068115,2,32,0
tt0068117,2,25,0
tt0068122,2,52,0
tt0068126,4,93,0
tt0068132,2,25,0
tt0068134,4,26,0
tt0068138,2,46,0
tt0068143,2,15,0
tt0068147,2,28,0
tt0068148,3,48,0
tt0068322,2,13,0
tt0069560,3,52,0
tt0069562,2,27,0
tt0069566,3,75,0
tt0069584,3,47,0
tt0069586,2,4,0
tt0069623,4,27,0
tt0069632,2,29,0
tt0069634,3,23,0
tt0069637,2,22,0
tt0069650,2,14,0
tt0069655,3,27,0
tt0069658,2,12791,0
tt0069862,3,260,0
tt0070966,4,26,0
tt0070967,2,28,0
tt0070973,2,221,0
tt0070974,2,2,0
tt0070975,4,88,0
tt0070977,2,13,0
tt0070986,2,13,0
tt0070993,2,45,0
tt0071005,3,43,0
tt0071006,3,20,0
tt0071009,3,34,0
tt0071012,2,45,0
tt0071014,2,13,0
tt0071022,2,24,0
tt0071025,3,17,0
tt0071032,2,44,0
tt0071034,4,90,0
tt0071036,3,20,0
tt0071038,2,26,0
tt0071041,4,28,0
tt0071045,2,26,0
tt0071046,2,25,0
tt0071048,2,13,0
tt0071050,3,28,0
tt0071052,4,33,0
tt0071057,3,28,0
tt0071059,4,53,0
tt0071063,3,596,0
tt0071065,2,39,0
tt0071067,3,56,0
tt0071105,2,13,0
tt0072471,4,82,0
tt0072478,2,25,0
tt0072480,3,61,0
tt0072485,2,29,0
tt0072489,4,26,0
tt0072491,2,31,0
tt0072492,2,26,0
tt0072500,2,12,0
tt0072514,4,27,0
tt0072516,2,22,0
tt0072518,2,24,0
tt0072548,2,13,0
tt0072550,2,2,0
tt0072552,2,18,0
tt0072555,4,16,0
tt0072556,2,48,0
tt0072558,2,14,0
tt0072560,2,37,0
tt0072561,3,53,0
tt0072564,2,48,0
tt0072567,4,92,0
tt0072572,3,38,0
tt0072574,3,71,0
tt0072577,4,29,0
tt0072582,4,95,0
tt0072586,3,21,0
tt0072587,2,19,0
tt0073959,3,39,0
tt0073961,2,36,0
tt0073964,2,14,0
tt0073965,3,58,0
tt0073968,2,27,0
tt0073969,2,37,0
tt0073985,4,70,0
tt0073990,3,21,0
tt0073993,2,27,0
tt0073997,3,20,0
tt0074004,2,25,0
tt0074009,2,12,0
tt0074014,2,32,0
tt0074018,2,102,0
tt0074020,3,20,0
tt0074021,2,325,0
tt0074031,2,26,0
tt0074036,4,25,0
tt0074040,2,27,0
tt0074053,3,40,0
tt0074058,2,33,0
tt0074063,3,36,0
tt0074064,2,44,0
tt0074066,2,20,0
tt0074071,3,65,0
tt0074072,4,51,0
tt0074074,3,60,0
tt0074075,2,13,0
tt0074076,2,26,0
tt0075469,2,16,0
tt0075489,2,44,0
tt0075490,2,51,0
tt0075492,4,30,0
tt0075496,2,12,0
tt0075501,4,17,0
tt0075506,2,35,0
tt0075511,4,30,0
tt0075513,3,46,0
tt0075525,2,37,0
tt0075536,4,25,0
tt0075537,4,42,0
tt0075538,2,12,0
tt0075545,2,15,0
tt0075551,2,33,0
tt0075553,2,13,0
tt0075560,2,29,0
tt0075565,3,17,0
tt0075568,2,9,0
tt0075571,2,11,0
tt0075574,4,27,0
tt0075577,2,29,0
tt0075578,3,78,0
tt0075579,3,43,0
tt0075581,4,97,0
tt0075582,2,14,0
tt0075584,4,88,0
tt0075589,2,15,0
tt0075593,2,17,0
tt0075601,2,13,0
tt0075603,4,31,0
tt0076945,2,26,0
tt0076975,2,14,0
tt0076987,4,52,0
tt0076988,3,21,0
tt0076990,2,12,0
tt0076991,2,12,0
tt0077004,2,31,0
tt0077018,2,17,0
tt0077020,2,22,0
tt0077022,3,18,0
tt0077027,3,29,0
tt0077032,2,8,0
tt0077036,4,35,0
tt0077040,4,26,0
tt0077041,2,14,0
tt0077047,2,14,0
tt0077051,4,24,0
tt0077053,4,94,0
tt0077056,4,29,0
tt0077057,4,29,0
tt0077058,4,58,0
tt0077065,2,27,0
tt0077072,3,20,0
tt0077075,2,17,0
tt0077078,3,20,0
tt0077080,4,22,0
tt0077088,2,33,0
tt0077093,3,69,0
tt0077097,4,90,0
tt0077101,3,54,0
tt0078558,2,16,0
tt0078559,3,20,0
tt0078561,2,36,0
tt0078562,4,97,0
tt0078564,3,47,0
tt0078566,2,26,0
tt0078568,4,14,0
tt0078579,2,32,0
tt0078585,2,13,0
tt0078598,2,13,0
tt0078600,4,31,0
tt0078611,2,26,0
tt0078618,2,17,0
tt0078619,4,23,0
tt0078623,2,38,0
tt0078626,3,57,0
tt0078629,3,18,0
tt0078631,2,28,0
tt0078635,2,13,0
tt0078656,2,13,0
tt0078658,2,38,0
tt0078659,2,52,0
tt0078662,2,24,0
tt0078670,3,20,0
tt0078679,2,28,0
tt0078681,2,19,0
