tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0071050,3,28,0,Shazam!,1974,1977,0,6.5,1621
tt0071059,4,53,0,The Sweeney,1975,1978,0,8.1,2513
tt0072471,4,82,0,Baretta,1975,1978,0,6.7,2766
tt0072500,2,12,0,Fawlty Towers,1975,1979,0,8.8,97913
tt0072516,2,22,0,Isis,1975,1976,0,6.7,1179
tt0072560,2,37,0,S.W.A.T.,1975,1976,0,6.7,1999
tt0072564,2,48,0,Space: 1999,1975,1977,0,7.3,9081
tt0072567,4,92,0,Starsky and Hutch,1975,1979,0,7,10140
tt0072572,3,38,0,Survivors,1975,1977,0,8,1383
tt0072582,4,95,0,"Welcome Back, Kotter",1975,1979,0,7.1,7238
tt0073961,2,36,0,Baa Baa Black Sheep,1976,1978,0,7.6,3245
tt0073965,3,58,0,The Bionic Woman,1976,1978,0,6.7,7842
tt0073990,3,21,0,The Fall and Rise of Reginald Perrin,1976,1979,0,8,2098
tt0074021,2,325,0,"Mary Hartman, Mary Hartman",1976,1977,0,7.9,1382
tt0074031,2,26,0,The New Avengers,1976,1977,0,7.2,2528
tt0074036,4,25,0,Open All Hours,1976,1985,0,7.6,5762
tt0074053,3,40,0,The Scooby-Doo/Dynomutt Hour,1976,1978,0,7.6,3617
tt0074071,3,65,0,What's Happening!!,1976,1979,0,7,4058
tt0074074,3,60,0,Wonder Woman,1975,1979,0,7,9621
tt0075492,4,30,0,Citizen Smith,1977,1980,0,7,1040
tt0075511,4,30,0,The Good Life,1975,1978,0,8,3830
tt0075513,3,46,0,The Hardy Boys/Nancy Drew Mysteries,1977,1979,0,7.3,1889
tt0075525,2,37,0,The Life and Times of Grizzly Adams,1977,1978,0,7.5,1690
tt0075537,4,42,0,Mind Your Language,1977,1986,0,8.7,9234
tt0075560,2,29,0,Poldark,1975,1977,0,8.3,1159
tt0075568,2,9,0,Ripping Yarns,1976,1979,0,7.9,1656
tt0075578,3,78,0,Second City TV,1976,1981,0,8.5,2766
tt0075579,3,43,0,Secret Army,1977,1979,0,8.6,1561
tt0075584,4,88,0,Soap,1977,1981,0,8.2,7980
tt0076975,2,14,0,The Amazing Spider-Man,1977,1979,0,6.2,2588
