tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0065329,5,114,1,The Odd Couple,1970,1975,1,7.9,6924
tt0066626,9,207,1,All in the Family,1971,1979,1,8.4,17987
tt0066633,6,65,1,Bless This House,1971,1976,1,6.9,1035
tt0066636,5,120,1,Cannon,1971,1976,1,6.8,3477
tt0066651,6,780,1,The Electric Company,1971,1977,1,8.1,2223
tt0066685,6,40,1,McMillan & Wife,1971,1977,1,7.2,2877
tt0066721,9,93,1,The Two Ronnies,1971,1987,1,7.8,3486
tt0066722,5,68,1,"Upstairs, Downstairs",1971,1975,1,8.4,3440
tt0068040,9,69,1,Are You Being Served?,1972,1985,1,8,8924
tt0068049,6,142,1,The Bob Newhart Show,1972,1978,1,8.1,6468
tt0068067,7,131,1,Emergency!,1972,1979,1,7.9,5779
tt0068072,8,86,1,Fat Albert and the Cosby Kids,1972,1985,1,6.7,2545
tt0068098,9,251,1,M*A*S*H,1972,1983,1,8.5,61387
tt0068103,6,141,1,Maude,1972,1978,1,7.3,4533
tt0068120,9,9516,1,The New Price Is Right,1972,Ongoing,1,7.5,4168
tt0068128,6,137,1,Sanford and Son,1972,1978,1,7.9,10362
tt0068135,5,120,1,The Streets of San Francisco,1972,1977,1,7.3,6529
tt0068149,9,212,1,The Waltons,1972,1981,1,7.6,8651
tt0069557,8,178,1,Barnaby Jones,1973,1980,1,6.9,2939
tt0069599,5,117,1,Kojak,1973,1978,1,7.1,8468
tt0069602,9,294,1,Last of the Summer Wine,1973,2010,1,7.1,3494
tt0069607,6,39,1,Man About the House,1973,1976,1,7.2,1506
tt0069608,9,1440,1,Match Game 73,1973,1990,1,8.3,2405
tt0069620,6,97,1,Police Story,1973,1980,1,7.5,1101
tt0069627,7,65,1,Schoolhouse Rock!,1973,2009,1,8.2,4225
tt0069641,9,93,1,Super Friends,1973,1985,1,7.2,4431
tt0070981,9,281,1,Derrick,1974,1998,1,6.6,1753
tt0070991,6,133,1,Good Times,1974,1979,1,7.4,7802
tt0070992,9,255,1,Happy Days,1974,1984,1,7.4,20340
tt0071007,9,204,1,Little House on the Prairie,1974,1983,1,7.5,25585
tt0071040,5,109,1,Rhoda,1974,1978,1,6.8,2821
tt0071042,6,119,1,The Rockford Files,1974,1980,1,8.2,10287
tt0071054,5,99,1,The Six Million Dollar Man,1974,1978,1,7.1,12333
tt0072472,8,171,1,Barney Miller,1975,1982,1,8.3,7020
tt0072506,49,5031,1,Good Morning America,1975,Ongoing,1,4.5,1961
tt0072519,9,253,1,The Jeffersons,1975,1985,1,7.5,10246
tt0072554,9,209,1,One Day at a Time,1975,1984,1,6.6,5010
tt0072562,9,953,1,Saturday Night Live,1975,Ongoing,1,8,51148
tt0072584,9,7791,1,Wheel of Fortune,1983,Ongoing,1,6.7,3458
tt0073955,9,202,1,Alice,1976,1985,1,6.8,5275
tt0073972,5,110,1,Charlie's Angels,1976,1981,1,6.5,13840
tt0073991,9,2344,1,Family Feud,1976,1985,1,7.1,2340
tt0073992,5,86,1,Family,1976,1980,1,7.7,1933
tt0073995,5,38,1,George & Mildred,1976,1979,1,7.2,1638
tt0074007,6,144,1,In Search of...,1977,1982,1,8.5,1082
tt0074016,8,178,1,Laverne & Shirley,1976,1983,1,7,8479
tt0074028,5,120,1,The Muppet Show,1976,1981,1,8.4,25710
tt0074035,8,91,1,The Onedin Line,1971,1980,1,7.6,1073
tt0074042,8,148,1,Quincy M.E.,1976,1983,1,7.3,6989
tt0075472,7,90,1,All Creatures Great & Small,1978,1990,1,8.4,4136
tt0075488,6,139,1,CHiPs,1977,1983,1,6.4,10941
tt0075500,5,112,1,Eight Is Enough,1977,1981,1,6.6,3605
tt0075512,9,601,1,Grange Hill,1978,2008,1,7.1,1590
tt0075528,5,114,1,Lou Grant,1977,1982,1,7.3,2308
tt0075529,9,250,1,The Love Boat,1977,1987,1,6.2,12954
tt0075561,5,57,1,The Professionals,1977,1983,1,8,3482
tt0075592,9,112,1,Tales of the Unexpected,1979,1988,1,7.6,2347
tt0075596,8,174,1,Three's Company,1976,1984,1,7.5,16213
tt0077000,9,356,1,Dallas,1978,1991,1,7.1,15994
tt0077003,8,181,1,Diff'rent Strokes,1978,1986,1,6.6,12088
tt0077008,7,154,1,Fantasy Island,1977,1984,1,6.6,8691
tt0077031,5,82,1,The Incredible Hulk,1977,1982,1,7,15484
tt0077064,8,692,1,Prisoner,1979,1986,1,8.1,2137
tt0077089,5,114,1,Taxi,1978,1983,1,7.7,15143
tt0078569,7,159,1,Benson,1979,1986,1,7.1,3953
tt0078607,7,146,1,The Dukes of Hazzard,1979,1985,1,7.1,14912
tt0078610,9,201,1,The Facts of Life,1979,1988,1,6.8,8207
tt0078622,5,111,1,Hart to Hart,1979,1984,1,6.7,8475
tt0078638,9,344,1,Knots Landing,1979,1993,1,6.9,3071
tt0078644,6,114,1,The Littlest Hobo,1979,1985,1,7.7,1280
tt0078657,9,109,1,Minder,1979,1994,1,7.8,2696
tt0078680,7,43,1,Rumpole of the Bailey,1978,1992,1,8.4,1614
tt0078704,7,151,1,"Trapper John, M.D.",1979,1986,1,6.6,2140
tt0078714,9,145,1,You Can't Do That on Television,1979,2004,1,8.1,2527
tt0080233,6,120,1,It's a Living,1980,1989,1,7,1183
tt0080240,8,158,1,"Magnum, P.I.",1980,1988,1,7.5,27929
tt0080299,6,129,1,Too Close for Comfort,1980,1987,1,6.6,2615
tt0081831,9,87,1,Bergerac,1981,1991,1,6.8,2119
tt0081848,9,93,1,Danger Mouse,1981,1992,1,7.4,3807
tt0081856,9,220,1,Dynasty,1981,1989,1,6.3,8100
tt0081857,8,5458,1,Entertainment Tonight,1981,Ongoing,1,3.6,2688
tt0081858,9,228,1,Falcon Crest,1981,1990,1,6.2,4137
tt0081859,5,112,1,The Fall Guy,1981,1986,1,7.1,8461
tt0081869,6,137,1,Gimme a Break!,1981,1987,1,6.4,3568
tt0081873,7,144,1,Hill Street Blues,1981,1987,1,8.2,10105
tt0081878,8,56,1,It Ain't Half Hot Mum,1974,1981,1,7.2,1719
tt0081883,5,45,1,The Kenny Everett Television Show,1981,1988,1,7.2,1018
tt0081912,9,64,1,Only Fools and Horses....,1981,2003,1,9,54942
tt0081930,8,156,1,Simon & Simon,1981,1989,1,7,5871
tt0081933,9,259,1,Smurfs,1981,1989,1,7.2,20234
tt0081954,9,195,1,Urusei yatsura,1981,1986,1,7.5,1195
tt0083395,7,126,1,Cagney & Lacey,1981,1988,1,6.8,4770
tt0083399,9,271,1,Cheers,1982,1993,1,8,59606
tt0083402,9,42,1,The Comic Strip Presents...,1982,Ongoing,1,7.8,1564
tt0083412,6,136,1,Fame,1982,1987,1,7,4256
tt0083413,7,172,1,Family Ties,1982,1989,1,7.3,19615
tt0083441,9,3172,1,Late Night with David Letterman,1982,1993,1,7.5,4867
tt0083455,8,184,1,Newhart,1982,1990,1,7.8,7671
tt0083470,5,94,1,Remington Steele,1982,1987,1,7.2,9571
tt0083475,5,62,1,Scooby-Doo and Scrappy-Doo,1979,1983,1,6.3,4334
tt0083479,5,116,1,Silver Spoons,1982,1987,1,6.1,4818
tt0083483,6,137,1,St. Elsewhere,1982,1988,1,8,4966
tt0083486,5,90,1,T.J. Hooker,1982,1986,1,6,4896
tt0084967,5,97,1,The A-Team,1983,1987,1,7.5,40673
tt0084972,8,102,1,Alvin & the Chipmunks,1983,1990,1,6.6,3463
tt0084987,9,2405,1,The Bill,1984,2010,1,6.7,3949
tt0085017,5,96,1,Fraggle Rock,1983,1987,1,7.9,8118
tt0085031,6,85,1,The Hitchhiker,1983,1991,1,6.8,1798
tt0085032,5,116,1,Hotel,1983,1988,1,6.4,1803
tt0085050,6,130,1,Mama's Family,1983,1990,1,7.3,6333
tt0085075,9,161,1,Reading Rainbow,1983,2006,1,8.4,4986
tt0085109,6,150,1,Webster,1983,1989,1,5.7,3179
tt0086659,9,85,1,'Allo 'Allo!,1982,1992,1,8.4,26442
tt0086665,5,40,1,"Auf Wiedersehen, Pet",1983,2004,1,8.5,3851
tt0086681,5,126,1,Charles in Charge,1984,1990,1,6.1,6453
tt0086687,8,197,1,The Cosby Show,1984,1992,1,7.4,35588
tt0086708,5,27,1,Ever Decreasing Circles,1984,1989,1,7.3,1304
tt0086730,5,111,1,Highway to Heaven,1984,1989,1,6.8,6175
tt0086734,7,152,1,Hunter,1984,1991,1,6.9,5380
tt0086742,6,122,1,Kate & Allie,1984,1989,1,6.9,2249
tt0086744,9,147,1,Kids Incorporated,1984,1993,1,7.2,1065
tt0086759,5,111,1,Miami Vice,1984,1989,1,7.5,28856
tt0086764,8,107,1,Muppet Babies,1984,1991,1,7.5,5443
tt0086765,9,264,1,"Murder, She Wrote",1984,1996,1,7.2,27639
tt0086770,9,193,1,Night Court,1984,1992,1,7.7,17018
tt0086779,9,48,1,La piovra,1984,2001,1,8.4,3814
tt0086807,9,135,1,Spitting Image,1984,1996,1,7.4,2430
tt0086815,9,589,1,Thomas the Tank Engine & Friends,1984,2021,1,6.5,5988
tt0086827,8,196,1,Who's the Boss?,1984,1992,1,6.6,14798
tt0088470,5,116,1,227,1985,1990,1,6.7,3815
tt0088475,9,66,1,Alas Smith & Jones,1984,1998,1,7.4,1880
tt0088526,7,177,1,The Golden Girls,1985,1992,1,8.2,45280
tt0088527,7,167,1,Growing Pains,1985,1992,1,6.6,15933
tt0088528,6,67,1,Adventures of the Gummi Bears,1985,1991,1,7.5,11574
tt0088559,7,139,1,MacGyver,1985,1992,1,7.6,40997
tt0088571,5,66,1,Moonlighting,1985,1989,1,7.6,22551
tt0088576,6,118,1,Mr. Belvedere,1985,1990,1,6.5,4834
tt0088591,6,65,1,The Ray Bradbury Theater,1985,1992,1,7.3,1622
tt0088621,9,177,1,Taggart,1983,2010,1,7.3,1888
tt0090395,5,110,1,Amen,1986,1991,1,6.8,2227
tt0090402,7,74,1,Bread,1986,1991,1,6.3,1478
tt0090405,7,34,1,The Bugs Bunny and Tweety Show,1986,2000,1,7.8,3418
tt0090417,5,70,1,Degrassi Junior High,1987,1991,1,8.2,3099
