tconst,num_seasons,num_episodes,long
tt0072504,5,34,1
tt0072506,49,5031,1
tt0072519,9,253,1
tt0072529,5,111,1
tt0072541,6,230,1
tt0072554,9,209,1
tt0072562,9,953,1
tt0072584,9,7791,1
tt0073954,5,28,1
tt0073955,9,202,1
tt0073958,9,220,1
tt0073972,5,110,1
tt0073982,6,9,1
tt0073991,9,2344,1
tt0073992,5,86,1
tt0073995,5,38,1
tt0074003,5,40,1
tt0074007,6,144,1
tt0074016,8,178,1
tt0074028,5,120,1
tt0074030,8,202,1
tt0074035,8,91,1
tt0074042,8,148,1
tt0074045,9,58,1
tt0075471,9,85,1
tt0075472,7,90,1
tt0075474,9,459,1
tt0075488,6,139,1
tt0075497,9,140,1
tt0075500,5,112,1
tt0075512,9,601,1
tt0075528,5,114,1
tt0075529,9,250,1
tt0075561,5,57,1
tt0075569,6,48,1
tt0075583,5,155,1
tt0075592,9,112,1
tt0075595,8,70,1
tt0075596,8,174,1
tt0076980,7,86,1
tt0076995,6,42,1
tt0077000,9,356,1
tt0077003,8,181,1
tt0077008,7,154,1
tt0077031,5,82,1
tt0077064,8,692,1
tt0077076,9,680,1
tt0077082,9,815,1
tt0077086,5,32,1
tt0077089,5,114,1
tt0078569,7,159,1
tt0078607,7,146,1
tt0078610,9,201,1
tt0078622,5,111,1
tt0078637,6,89,1
tt0078638,9,344,1
tt0078644,6,114,1
tt0078657,9,109,1
tt0078669,9,107,1
tt0078676,5,37,1
tt0078680,7,43,1
tt0078685,6,43,1
tt0078688,6,39,1
tt0078701,9,1191,1
tt0078704,7,151,1
tt0078714,9,145,1
tt0080200,6,58,1
tt0080233,6,120,1
tt0080234,6,88,1
tt0080236,5,31,1
tt0080240,8,158,1
tt0080249,9,314,1
tt0080277,8,234,1
tt0080299,6,129,1
tt0080304,9,78,1
tt0081831,9,87,1
tt0081848,9,93,1
tt0081852,5,243,1
tt0081856,9,220,1
tt0081857,8,5458,1
tt0081858,9,228,1
tt0081859,5,112,1
tt0081860,9,347,1
tt0081869,6,137,1
tt0081873,7,144,1
tt0081878,8,56,1
tt0081883,5,45,1
tt0081907,9,67,1
tt0081912,9,64,1
tt0081916,9,19,1
