tconst,num_seasons,num_episodes,long
tt0044277,2,57,0
tt0044278,1,8,0
tt0044279,4,116,0
tt0044281,3,39,0
tt0044282,1,33,0
tt0044283,4,126,0
tt0044284,8,159,1
tt0044287,4,130,0
tt0044288,1,24,0
tt0044289,2,52,0
tt0044290,2,32,0
tt0044291,1,21,0
tt0044293,1,1,0
tt0044294,1,13,0
tt0044296,9,350,1
tt0044298,1,9870,0
tt0044300,1,25,0
tt0044301,2,40,0
tt0044306,1,3,0
tt0044308,1,7,0
tt0044310,1,4,0
tt0045369,1,1,0
tt0045370,2,6,0
tt0045372,1,44,0
tt0045373,6,152,1
tt0045374,1,6,0
tt0045375,1,1,0
tt0045378,2,64,0
tt0045379,4,37,0
tt0045380,2,79,0
tt0045381,1,5,0
tt0045382,1,12,0
tt0045383,3,17,0
tt0045385,5,156,1
tt0045387,5,80,1
tt0045388,1,3,0
tt0045389,1,13,0
tt0045392,1,4,0
tt0045395,9,303,1
tt0045396,1,31,0
tt0045397,3,117,0
tt0045398,1,29,0
tt0045399,1,24,0
tt0045400,1,11,0
tt0045401,1,9,0
tt0045402,1,13,0
tt0045403,1,4,0
tt0045404,1,10,0
tt0045405,1,1,0
tt0045406,6,219,1
tt0045407,2,40,0
tt0045408,1,10,0
tt0045409,8,257,1
tt0045410,9,343,1
tt0045411,2,92,0
tt0045412,2,39,0
tt0045414,2,77,0
tt0045415,1,16,0
tt0045418,3,96,0
tt0045419,3,100,0
tt0045420,1,11,0
tt0045422,1,8,0
tt0045424,1,2,0
tt0045425,1,1,0
tt0045426,1,8,0
tt0045428,1,29,0
tt0045430,2,93,0
tt0045431,8,322,1
tt0045432,1,9,0
tt0045433,1,23,0
tt0045434,1,40,0
tt0045435,5,107,1
tt0045436,1,6,0
tt0045437,1,59,0
tt0045438,1,13,0
tt0045439,1,151,0
tt0045443,1,9,0
tt0045444,1,7,0
tt0045445,1,3,0
tt0045446,1,380,0
tt0045447,2,78,0
tt0045449,9,251,1
tt0045450,1,1027,0
tt0045451,1,4,0
tt0045454,1,1,0
tt0045455,2,61,0
tt0045457,1,5,0
tt0045458,5,160,1
tt0045459,1,21,0
tt0045460,3,38,0
tt0046415,1,2,0
tt0046574,1,32,0
tt0046576,5,164,1
tt0046578,3,81,0
tt0046580,1,9,0
tt0046581,1,3,0
tt0046582,1,12,0
